Orientation,LocationX,LocationY,Delay
0,10,29.42,1
0,-70,-10.58,1
0,-50,29.42,1
0,10,-10.58,1
0,10,9.42,1
0,-50,9.42,1
0,-70,29.42,1
0,-10,29.42,1
0,-10,-10.58,1
0,-30,-10.58,1
0,10,29.42,1
0,10,-10.58,1
0,-50,-10.58,1
0,-50,29.42,1
0,-30,-10.58,1
0,-70,29.42,1
0,-30,29.42,1
0,-70,-10.58,1
0,10,-10.58,1
0,-50,-10.58,1
0,-30,-10.58,1
0,-10,9.42,1
0,-30,-10.58,1
0,-50,9.42,1
0,10,9.42,1
0,-70,29.42,1
0,-30,9.42,1
0,-10,-10.58,1
0,10,29.42,1
0,-70,9.42,1
0,10,9.42,1
0,10,-10.58,1
0,10,-10.58,1
0,-10,9.42,1
0,-10,-10.58,1
0,-30,-10.58,1
0,10,-10.58,1
0,-10,9.42,1
0,-10,29.42,1
0,-30,-10.58,1
0,10,9.42,1
0,-50,9.42,1
0,-70,-10.58,1
0,200,0,1
0,200,0,1
0,10,29.42,1
0,-50,-10.58,1
0,-50,9.42,1
0,10,29.42,1
0,200,0,1
0,10,-10.58,1
0,-50,29.42,1
0,-50,9.42,1
0,-50,29.42,1
0,-10,9.42,1
0,-10,-10.58,1
0,-10,-10.58,1
0,10,9.42,1
0,-10,9.42,1
0,-30,29.42,1
0,200,0,1
0,10,29.42,1
0,-10,9.42,1
0,-70,29.42,1
0,10,9.42,1
0,-10,9.42,1
0,-10,29.42,1
0,-30,9.42,1
0,-10,9.42,1
0,-10,29.42,1
0,10,-10.58,1
0,-10,9.42,1
0,-50,29.42,1
0,-30,9.42,1
0,200,0,1
0,-50,9.42,1
0,-30,29.42,1
0,-10,29.42,1
0,-70,9.42,1
0,-30,-10.58,1
0,-30,9.42,1
0,-50,-10.58,1
0,-70,9.42,1
0,-70,-10.58,1
0,-30,9.42,1
0,-70,29.42,1
0,200,0,1
0,10,29.42,1
0,-70,29.42,1
0,10,9.42,1
0,-30,29.42,1
0,-70,29.42,1
0,200,0,1
0,-50,9.42,1
0,-30,29.42,1
0,-50,-10.58,1
0,-30,9.42,1
0,-70,-10.58,1
0,-10,29.42,1
0,10,29.42,1
0,200,0,1
0,-50,9.42,1
0,-10,-10.58,1
0,-70,9.42,1
0,10,-10.58,1
0,-30,29.42,1
0,-70,-10.58,1
0,-70,29.42,1
0,-10,9.42,1
0,-10,-10.58,1
0,10,-10.58,1
0,-70,9.42,1
0,-10,29.42,1
0,-10,-10.58,1
0,-50,-10.58,1
0,-30,9.42,1
0,-70,9.42,1
0,-70,-10.58,1
0,-10,-10.58,1
0,-70,9.42,1
0,-50,29.42,1
0,-50,-10.58,1
0,-30,29.42,1
0,-50,29.42,1
0,10,29.42,1
0,-50,-10.58,1
0,-10,-10.58,1
0,-70,9.42,1
0,-30,-10.58,1
0,-70,29.42,1
0,-30,29.42,1
0,-70,9.42,1
0,-50,9.42,1
0,-10,29.42,1
0,-50,29.42,1
0,-10,29.42,1
0,-70,-10.58,1
0,10,9.42,1
0,200,0,1
0,-30,9.42,1
0,-70,-10.58,1
0,-30,9.42,1
0,-30,-10.58,1
0,-50,9.42,1
0,-30,29.42,1
0,-30,9.42,1
0,-70,9.42,1
0,10,9.42,1
0,-50,29.42,1
0,10,9.42,1
0,-50,-10.58,1
0,-70,29.42,1
0,-50,29.42,1
0,10,29.42,1
0,-30,-10.58,1
0,-50,-10.58,1
0,-30,29.42,1
0,200,0,1
0,-10,29.42,1
0,-70,-10.58,1
