RowIdx,CellName,Animal,Session,IsSpatial,IsSignif,IsOmit,LLHrel,LLHrel_omit,LLHrel_L1L2,LLHrel_BG,LLHrel_Spd,pval_omit
1,M26004_20260318_cell#1,1,1,0,0,0,0.967029613852077,0.990214602428862,NaN,NaN,NaN,1
2,M26004_20260318_cell#2,1,1,1,1,0,1.19798345642479,0.993722393648287,NaN,NaN,NaN,1
3,M26004_20260318_cell#3,1,1,1,1,0,1.22925626014917,0.975084234752641,NaN,NaN,NaN,1
4,M26004_20260318_cell#4,1,1,1,1,0,1.38493897574516,0.93679334967906,NaN,NaN,NaN,1
5,M26004_20260318_cell#5,1,1,1,1,0,1.11194128540471,0.985232466527971,NaN,NaN,NaN,1
6,M26004_20260318_cell#6,1,1,0,0,0,0.981513831848534,0.954544789244804,NaN,NaN,NaN,1
7,M26004_20260318_cell#7,1,1,1,1,0,1.2346651308308,0.983820406093038,NaN,NaN,NaN,1
9,M26004_20260318_cell#9,1,1,1,1,0,1.31811991362227,1.00649519775655,NaN,NaN,NaN,0.980378839105167
10,M26004_20260318_cell#10,1,1,1,1,0,1.21548794048617,1.00081855979068,NaN,NaN,NaN,1
11,M26004_20260318_cell#11,1,1,1,1,0,1.43130725882968,0.991744313773352,NaN,NaN,NaN,1
12,M26004_20260318_cell#12,1,1,1,1,0,1.69703511271875,0.961618311964321,NaN,NaN,NaN,1
13,M26004_20260318_cell#13,1,1,0,0,0,1.00216700545577,0.908608871692056,NaN,NaN,NaN,1
14,M26004_20260318_cell#14,1,1,1,1,0,1.04751956163244,1.01028197438585,NaN,NaN,NaN,0.00189762149838768
15,M26004_20260318_cell#15,1,1,1,1,0,1.1122156602372,0.989424411556298,NaN,NaN,NaN,1
16,M26004_20260318_cell#16,1,1,0,0,0,0.933985675101086,0.989393420357729,NaN,NaN,NaN,1
17,M26004_20260318_cell#17,1,1,1,1,0,1.47192702146644,0.952536978334868,NaN,NaN,NaN,1
18,M26004_20260318_cell#18,1,1,1,1,0,1.05919382348369,0.974901511331947,NaN,NaN,NaN,1
19,M26004_20260318_cell#19,1,1,1,1,0,1.2258216497622,0.998611437526156,NaN,NaN,NaN,1
20,M26004_20260318_cell#20,1,1,1,1,1,1.24994784465002,1.01576618993003,NaN,NaN,NaN,0
21,M26004_20260318_cell#21,1,1,1,1,0,1.37090337831757,0.98227798533751,NaN,NaN,NaN,1
22,M26004_20260318_cell#22,1,1,1,1,0,1.0747490731402,0.932669029440267,NaN,NaN,NaN,1
24,M26004_20260318_cell#24,1,1,0,0,0,0.95564422828776,0.961452114315334,NaN,NaN,NaN,1
25,M26004_20260318_cell#25,1,1,0,1,0,1.01416617016264,NaN,NaN,NaN,NaN,NaN
26,M26004_20260318_cell#26,1,1,1,1,0,1.34029881498891,0.997172680244279,NaN,NaN,NaN,1
27,M26004_20260318_cell#27,1,1,1,1,0,1.0546007277605,0.974376412531173,NaN,NaN,NaN,1
28,M26004_20260318_cell#28,1,1,1,1,0,1.14282773118811,0.983464807039647,NaN,NaN,NaN,1
29,M26004_20260318_cell#29,1,1,1,1,0,1.22255911643304,0.962015739323965,NaN,NaN,NaN,1
30,M26004_20260318_cell#30,1,1,1,1,0,1.11222160513672,0.989455254377723,NaN,NaN,NaN,1
31,M26004_20260318_cell#31,1,1,1,1,1,1.16952953242024,1.02100581228509,NaN,NaN,NaN,0
32,M26004_20260318_cell#32,1,1,1,1,0,1.06247672696143,1.00123167668571,NaN,NaN,NaN,0.782035044147368
33,M26004_20260318_cell#33,1,1,0,0,0,1.00148984906567,0.995756959204354,NaN,NaN,NaN,1
34,M26004_20260318_cell#34,1,1,1,1,0,1.26297275499174,0.954892122116318,NaN,NaN,NaN,1
35,M26004_20260318_cell#35,1,1,1,1,0,1.74532252066682,0.980404000660862,NaN,NaN,NaN,1
36,M26004_20260318_cell#36,1,1,0,0,0,0.93563694296488,1.00259579922175,NaN,NaN,NaN,0.999954200256903
37,M26004_20260318_cell#37,1,1,1,1,0,1.07574464514608,0.969963378080567,NaN,NaN,NaN,1
38,M26004_20260318_cell#38,1,1,1,1,0,1.02282107217642,0.986426155097314,NaN,NaN,NaN,1
39,M26004_20260318_cell#39,1,1,1,1,0,1.09432096494795,0.968930432139577,NaN,NaN,NaN,1
40,M26004_20260318_cell#40,1,1,0,0,0,0.914363213854914,0.9523660826275,NaN,NaN,NaN,1
41,M26004_20260318_cell#41,1,1,1,1,0,1.05808528362567,0.971333579678157,NaN,NaN,NaN,1
42,M26004_20260318_cell#42,1,1,0,0,0,1.00883821245773,0.907660521753019,NaN,NaN,NaN,1
43,M26004_20260318_cell#43,1,1,1,1,0,1.22311686770555,0.955694627801842,NaN,NaN,NaN,1
