CellName,goodcells,signicells,goodLLHcells,spatialcells,LLHi_vis,LLHi_pos,LLHrel,iPos_pval,posKernel_maxabs,overallResp_pval,LLHrel_omit,goodOmitcells
M26004_20260318_cell#1,1,0,0,0,0.0381189199431002,0.0368621244330344,0.967029613852077,1,0,0,0.990214602428862,0
M26004_20260318_cell#2,1,1,1,1,0.384307966579496,0.460394586134489,1.19798345642479,0,170.983235540045,0,0.993722393648287,0
M26004_20260318_cell#3,1,1,1,1,0.0398502906858985,0.048986219294405,1.22925626014917,0,43.7346071311778,0,0.975084234752641,0
M26004_20260318_cell#4,1,1,1,1,0.0285868479768349,0.0395910399568202,1.38493897574516,0,57.4771122866857,0,0.93679334967906,0
M26004_20260318_cell#5,1,1,1,1,0.0212219527770106,0.0235975654496672,1.11194128540471,0,20.7510982264099,0,0.985232466527971,0
M26004_20260318_cell#6,1,0,0,0,0.0173023194567729,0.0169824658698846,0.981513831848534,1,0,0,0.954544789244804,0
M26004_20260318_cell#7,1,1,1,1,0.0492169627206154,0.060766467716543,1.2346651308308,0,75.2387378492675,0,0.983820406093038,0
M26004_20260318_cell#8,0,1,1,0,0.0098364414374372,0.0131891337646,1.34084402865477,0,47.0289605802737,1,NaN,0
M26004_20260318_cell#9,1,1,1,1,0.0280875564353893,0.037022767462476,1.31811991362227,0,31.2102393006624,0,1.00649519775655,0
M26004_20260318_cell#10,1,1,1,1,0.0380755001324755,0.0462803112390036,1.21548794048617,0,24.9811734858007,0,1.00081855979068,0
M26004_20260318_cell#11,1,1,1,1,0.0717605093669651,0.102711337954252,1.43130725882968,0,105.615863766784,0,0.991744313773352,0
M26004_20260318_cell#12,1,1,1,1,0.0194749060497137,0.0330495993832628,1.69703511271875,0,67.0075923519546,0,0.961618311964321,0
M26004_20260318_cell#13,1,0,0,0,0.0292625755952487,0.0293259877562136,1.00216700545577,1,0,0,0.908608871692056,0
M26004_20260318_cell#14,1,1,1,1,0.0595343030169634,0.0623633469984226,1.04751956163244,0,21.0950122383813,0,1.01028197438585,0
M26004_20260318_cell#15,1,1,1,1,0.0908091722397285,0.100999383458203,1.1122156602372,0,36.897575152001,0,0.989424411556298,0
M26004_20260318_cell#16,1,0,0,0,0.0538738520841238,0.0503174061090865,0.933985675101086,1,0,0.00115301168590864,0.989393420357729,0
M26004_20260318_cell#17,1,1,1,1,0.0499611260847784,0.0735391315070769,1.47192702146644,0,96.5831626984715,0,0.952536978334868,0
M26004_20260318_cell#18,1,1,1,1,0.0984875721584071,0.104317428120089,1.05919382348369,0,39.2265319784573,0,0.974901511331947,0
M26004_20260318_cell#19,1,1,1,1,0.029219253220893,0.0358175931880545,1.2258216497622,0,48.0833368258471,0,0.998611437526156,0
M26004_20260318_cell#20,1,1,1,1,0.102426412322421,0.128027673317644,1.24994784465002,0,135.25957980041,0,1.01576618993003,1
M26004_20260318_cell#21,1,1,1,1,0.0193811300725659,0.0265696566920928,1.37090337831757,0,35.8814753746605,0,0.98227798533751,0
M26004_20260318_cell#22,1,1,1,1,0.0244261107752754,0.0262519399161472,1.0747490731402,0,27.8923503153535,0,0.932669029440267,0
M26004_20260318_cell#23,0,0,0,0,0.0403132942808696,0.0382539688521104,0.948916964850068,1,0,0.999999999999995,0.926559971280923,0
M26004_20260318_cell#24,1,0,0,0,0.0282428059504208,0.0269900744971709,0.95564422828776,1,0,0,0.961452114315334,0
M26004_20260318_cell#25,1,1,0,0,0.0665166028002961,0.0674588883142059,1.01416617016264,0.000684104946893416,24.6551249737783,0,NaN,0
M26004_20260318_cell#26,1,1,1,1,0.0607662405755427,0.0814449202347311,1.34029881498891,0,80.6015502262737,0,0.997172680244279,0
M26004_20260318_cell#27,1,1,1,1,0.0589166034893405,0.062133492917035,1.0546007277605,0,34.1693618670154,0,0.974376412531173,0
M26004_20260318_cell#28,1,1,1,1,0.110709240942928,0.126521590648364,1.14282773118811,0,69.6242149390253,0,0.983464807039647,0
M26004_20260318_cell#29,1,1,1,1,0.0212775918425408,0.0260131138828394,1.22255911643304,0,55.8781908585401,0,0.962015739323965,0
M26004_20260318_cell#30,1,1,1,1,0.074834926850682,0.0832330224621547,1.11222160513672,0,36.6987571158572,0,0.989455254377723,0
M26004_20260318_cell#31,1,1,1,1,0.0593307991431772,0.0693891217800393,1.16952953242024,0,58.5393084443608,0,1.02100581228509,1
M26004_20260318_cell#32,1,1,1,1,0.19614259776662,0.20839694529279,1.06247672696143,0,107.69671972377,0,1.00123167668571,0
M26004_20260318_cell#33,1,0,0,0,0.161756272633797,0.161997265065447,1.00148984906567,0.997894969099802,0,0,0.995756959204354,0
M26004_20260318_cell#34,1,1,1,1,0.0286853969143692,0.0362288747689724,1.26297275499174,0,34.833227207104,0,0.954892122116318,0
M26004_20260318_cell#35,1,1,1,1,0.022624719646804,0.03948743272334,1.74532252066682,0,57.4529843106554,0,0.980404000660862,0
M26004_20260318_cell#36,1,0,0,0,0.0571513994274245,0.0534729606464403,0.93563694296488,1,0,0,1.00259579922175,0
M26004_20260318_cell#37,1,1,1,1,0.0311773513714128,0.033538868787635,1.07574464514608,1.21236354289067e-13,33.9282158926205,0,0.969963378080567,0
M26004_20260318_cell#38,1,1,1,1,0.11251790726068,0.115085686543416,1.02282107217642,0,24.9136921865286,0,0.986426155097314,0
M26004_20260318_cell#39,1,1,1,1,0.0411078180864183,0.0449851471552341,1.09432096494795,0,59.2413372697617,0,0.968930432139577,0
M26004_20260318_cell#40,1,0,0,0,0.0298630220860394,0.0273056488500112,0.914363213854914,1,0,0,0.9523660826275,0
M26004_20260318_cell#41,1,1,1,1,0.055874627357197,0.0591201209347182,1.05808528362567,0,47.5245712140854,0,0.971333579678157,0
M26004_20260318_cell#42,1,0,0,0,0.0313763583417754,0.0316536692629498,1.00883821245773,0.997292177300322,0,0,0.907660521753019,0
M26004_20260318_cell#43,1,1,1,1,0.0823789069666279,0.100759030654029,1.22311686770555,0,89.446373552052,0,0.955694627801842,0
M26004_20260318_cell#44,1,1,1,1,0.0162817974510927,0.0177859950303497,1.09238522858274,1.63868918434673e-13,16.8599415271966,0,0.934560912129083,0
M26004_20260318_cell#45,1,1,1,1,0.0649357733289289,0.0759751236300447,1.17000414001688,0,88.5856592118212,0,0.982855898216302,0
M26004_20260318_cell#46,1,1,1,1,0.0110066452469166,0.0179811863343651,1.63366638344252,0,43.1645695278477,0,1.05368254906223,1
M26004_20260318_cell#47,1,1,1,1,0.0965612316852811,0.100706699354526,1.04293097340303,0,40.684676485894,0,0.988600716095081,0
M26004_20260318_cell#48,1,1,1,1,0.0459888317798865,0.0602778490490144,1.31070624575807,0,85.3833150421853,0,0.960903019590968,0
M26004_20260318_cell#49,1,1,1,1,0.044765060941205,0.0493779620828002,1.10304690856232,0,52.291602338823,0,0.941921429700846,0
M26004_20260318_cell#50,1,0,0,0,0.0573194709061401,0.0569334364731145,0.993265212903697,1,0,0,0.978475034343873,0
M26004_20260318_cell#51,1,1,1,1,0.124339627199021,0.170721425736376,1.37302507319823,0,265.513924775259,0,0.991259655954213,0
M26004_20260318_cell#52,1,1,1,1,0.067303982670706,0.0834663812837196,1.24014030034583,0,53.107668067576,0,0.993356451740995,0
M26004_20260318_cell#53,1,0,0,0,0.0626075291096104,0.0620844205106796,0.991644637532093,1,0,0,0.997160394276468,0
M26004_20260318_cell#54,1,1,1,1,0.381069451360098,0.414753147494325,1.08839253845724,0,81.8768814468299,0,1.00191627695487,0
M26004_20260318_cell#55,1,1,1,1,0.0919948694132194,0.0962268273027806,1.04600210768877,0,27.3933895460677,0,1.00396994873466,0
M26004_20260318_cell#56,1,1,1,1,0.10097358694486,0.103081925514373,1.0208800997697,3.12727621576414e-12,27.4909137080987,0,0.994282810176536,0
M26004_20260318_cell#57,1,0,0,0,0.0251794591040806,0.023462484963186,0.931810523260351,1,0,0,0.981633831067498,0
M26004_20260318_cell#58,1,1,1,1,0.0390812008530251,0.0600629867957421,1.53687669479821,0,56.5112709288438,0,0.976753785311506,0
M26004_20260318_cell#59,1,1,1,1,0.0544733126336948,0.0634347861803975,1.1645112645703,0,38.8487576799113,0,0.981808803009287,0
M26004_20260318_cell#60,1,1,1,1,0.00403405505094686,0.00645468174784424,1.60004800785483,0,26.5351302330473,0,0.931305279148953,0
M26004_20260318_cell#61,1,1,1,1,0.0192305203851414,0.0232114241488654,1.20700967441317,0,33.4571712126053,0,0.932109997579989,0
M26004_20260318_cell#62,1,0,0,0,0.077652788475638,0.0778836304535042,1.00297274550467,1,0,0,0.99912277944897,0
M26004_20260318_cell#63,1,1,1,1,0.023280327476543,0.0276096050813295,1.185962916937,0,30.4840603545126,0,0.900383798793806,0
M26004_20260318_cell#64,1,1,1,1,0.0223029763026707,0.0284708125604231,1.27654767570254,0,33.8833263000175,0,0.964394572360381,0
